customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,TenureGroup,ChargesGroup,AvgChargesPerMonth,CustomerLifetimeValue,TotalServices,ContractRisk,PaymentRisk,HasFamily,HasInternetPhone,HighValueCustomer,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,CustomerSegment
7590-VHVEG,0,0,0,0,-1.2774445836787656,0,0,-1.1603229160349193,-0.9926672209068343,0,0-1 Year,Low,-1.4464442352785662,-0.9934480627412883,-0.9280832414338016,3,3,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,High Risk
5575-GNVDE,1,0,1,0,0.06632741908223598,1,1,-0.2596289419448806,-0.1721981329410328,0,2-4 Years,Medium,-0.16616926451629216,-0.15158796287645643,-0.06323933174628321,2,2,0,1,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,New Customer
3668-QPYBK,1,0,1,0,-1.2367242199587352,1,0,-0.3626603559551803,-0.9581216184613621,1,0-1 Year,Medium,-0.7540398783197245,-0.959070655112199,-0.06323933174628321,3,2,0,1,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,High Risk
7795-CFOCW,1,0,1,0,0.5142514200025698,0,1,-0.7465354629935549,-0.19370641032566585,0,2-4 Years,Medium,-0.6240381547003363,-0.1660719573560215,-0.06323933174628321,2,1,0,0,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,New Customer
9237-HQITU,0,0,1,0,-1.2367242199587352,1,0,0.19736523310080326,-0.9389296171027665,1,0-1 Year,High,-0.27878008301069707,-0.9441892339548411,-0.9280832414338016,3,3,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,High Risk
9305-CDSKC,0,0,1,0,-0.9924020376385531,1,0,1.1595456961969886,-0.6438360513856013,1,0-1 Year,Very High,1.0524936194813717,-0.654597661403053,0.8016045779412352,3,3,0,1,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,High Risk
1452-KIOVK,1,0,1,1,-0.4223169455581282,1,0,0.8089065291619363,-0.14577052647252983,0,1-2 Years,Very High,0.8423912631943321,-0.14103407665506634,0.369182623097476,3,1,1,1,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,New Customer
6713-OKOMC,0,0,1,0,-0.9109613101984924,0,1,-1.1636465100352518,-0.8726400032147437,0,0-1 Year,Low,-1.0360670860062415,-0.8752577846176436,-0.9280832414338016,3,2,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,High Risk
7892-POOKP,0,0,0,0,-0.1779947632379461,1,0,1.330710787214099,0.338066445709169,1,2-4 Years,Very High,1.5070891264251989,0.28915822279591286,1.2340265327849944,3,3,1,1,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,High Risk
6388-TABGU,1,0,1,1,1.2064976032430856,1,1,-0.28621769394753876,0.5330307077864886,0,4+ Years,Medium,-0.12098446624306942,0.5306611673347553,-0.06323933174628321,2,1,1,1,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,New Customer
9763-GRSKD,1,0,0,1,-0.7888002190384014,1,0,-0.4922805219681379,-0.7466566471699855,0,1-2 Years,Medium,-0.5603071292467097,-0.7198860328604819,-0.49566128659004244,3,2,1,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,High Risk
7469-LKBCI,1,0,1,0,-0.6666391278783103,1,1,-1.5225946620711341,-0.8616542369198235,0,1-2 Years,Low,-1.3055533243568334,-0.8727407489916217,-1.360505196277561,1,1,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,New Customer
8091-TTVAX,1,0,0,0,1.0436161483629645,1,1,1.182810854199314,1.5006384728348567,0,4+ Years,Very High,1.2204131918118708,1.5635289443988487,0.8016045779412352,2,1,1,1,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,New Customer
0280-XJGEX,1,0,1,0,0.6771328748826912,1,0,1.2941512532104444,1.2161556572941103,1,4+ Years,Very High,1.3658154679841827,1.2371974834110915,1.2340265327849944,3,1,0,1,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,New Customer
5129-JLPIS,1,0,1,0,-0.30015585439803716,1,0,1.3539759452164248,0.17923608963803278,0,2-4 Years,Very High,1.4504974348013944,0.15805157764399771,1.2340265327849944,3,3,0,1,1,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,High Risk
3655-SNQYZ,0,0,0,1,1.4915401492832983,1,1,1.611554480242174,2.477467222444021,0,4+ Years,Very High,1.7611613822435628,2.444027749049105,2.098870442472513,1,1,1,1,1,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,New Customer
8191-XWSZG,0,0,1,0,0.7992939660427822,1,1,-1.4660935640654862,-0.5545160358672637,0,4+ Years,Low,-1.3030159619837762,-0.5324551957613564,-1.360505196277561,2,2,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,New Customer
9959-WOFKT,1,0,1,1,1.5729808767233588,1,1,1.393859073220412,2.2511780845860048,0,4+ Years,Very High,1.4249853125001566,2.338687600174099,1.2340265327849944,1,1,1,1,1,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,New Customer
4190-MFLUW,0,0,0,1,-0.9109613101984924,1,1,-0.31779183695069496,-0.7727312972916637,1,0-1 Year,Medium,-0.3613173640769045,-0.7628743518417515,-0.06323933174628321,3,1,1,1,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,New Customer
4183-MYFRB,0,0,1,0,-0.46303730927815856,1,0,0.8404806721650927,-0.18393393147295561,0,1-2 Years,Very High,0.8397937549768196,-0.17156969306549041,0.369182623097476,3,3,0,1,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,High Risk
8779-QRDMV,1,1,1,0,-1.2774445836787656,0,0,-0.8346107040023594,-0.988343505658231,1,0-1 Year,Medium,-1.2858392010017223,-0.9891205278053206,-0.49566128659004244,3,3,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,High Risk
1680-VDCWW,1,0,0,0,-0.8295205827584317,1,1,-1.4943441130683104,-0.9166051281661013,0,0-1 Year,Low,-1.4257067720615013,-0.9017087379507515,-1.360505196277561,2,1,1,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,New Customer
1066-JKSGK,1,0,1,0,-1.2774445836787656,1,1,-1.4827115340671475,-0.9969468166120843,1,0-1 Year,Low,-1.605410442675034,-0.997731439157501,-1.360505196277561,3,2,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,High Risk
